!EXCLAMATION-POINT	EH K S K L AH M EY SH AH N P OY N T
COUNTERATTACKED(2)	K AW N ER AH T AE K T
COUNTERATTACKING(2)	K AW N ER AH T AE K IH NG
COUNTERATTACKS(2)	K AW N ER AH T AE K S
COUNTERBALANCE(2)	K AW N ER B AE L AH N S
COUNTERBALANCED(2)	K AW N ER B AE L AH N S T
COUNTERBALANCES(2)	K AW N ER B AE L AH N S IH Z
COUNTERBALANCING(2)	K AW N ER B AE L AH N S IH NG
COUNTERCHALLENGE(2)	K AW N ER CH AE L AH N JH
COUNTERCHALLENGES(2)	K AW N ER CH AE L AH N JH AH Z
COUNTERCHARGE(2)	K AW N ER CH AA R JH
COUNTERCHARGES(2)	K AW N ER CH AA R JH IH Z
COUNTERCLOCKWISE(2)	K AW N ER K L AO K W AY Z
COUNTERCULTURAL(2)	K AW N ER K AH L CH ER AH L
COUNTERCULTURE(2)	K AW N ER K AH L CH ER
COUNTERED(2)	K AW N ER D
COUNTERESPIONAGE(2)	K AW N ER EH S P IY AH N AA JH
COUNTERFEIT(2)	K AW N ER F IH T
COUNTERFEITED(2)	K AW N ER F IH T IH D
COUNTERFEITER(2)	K AW N ER F IH T ER
COUNTERFEITERS(2)	K AW N ER F IH T ER Z
COUNTERFEITING(2)	K AW N ER F IH T IH NG
COUNTERFEITS(2)	K AW N ER F IH T S
COUNTERING(2)	K AW N ER IH NG
COUNTERINSURGENCIES(2)	K AW N ER IH N S ER JH AH N S IY Z
COUNTERINSURGENCY(2)	K AW N ER IH N S ER JH AH N S IY
COUNTERINTELLIGENCE(2)	K AW N ER IH N T EH L IH JH AH N S
COUNTERMEASURE(2)	K AW N ER M EH ZH ER
COUNTERMEASURES(2)	K AW N ER M EH ZH ER Z
COUNTEROFFENSIVE(2)	K AW N ER AO F EH N S IH V
COUNTEROFFENSIVES(2)	K AW N ER AO F EH N S IH V Z
COUNTEROFFER(2)	K AW N ER AO F ER
COUNTEROFFERS(2)	K AW N ER AO F ER Z
COUNTERPART(2)	K AW N ER P AA R T
COUNTERPARTS(2)	K AW N ER P AA R T S
COUNTERPOINT(2)	K AW N ER P OY N T
COUNTERPOINTS(2)	K AW N ER P OY N T S
COUNTERPRODUCTIVE(2)	K AW N ER P R AH D AH K T IH V
COUNTERPROPOSAL(2)	K AW N ER P R AH P OW Z AH L
COUNTERPROPOSALS(2)	K AW N ER P R AH P OW Z AH L Z
COUNTERREVOLT(2)	K AW N ER R IY V OW L T
COUNTERREVOLUTION(2)	K AW N ER R EH V AH L UW SH AH N
COUNTERREVOLUTIONARY(2)	K AW N ER R EH V AH L UW SH AH N EH R IY
COUNTERSUE(2)	K AW N ER S UW
COUNTERSUED(2)	K AW N ER S UW D
COUNTERSUING(2)	K AW N ER S UW IH NG
COUNTERSUIT(2)	K AW N ER S UW T
COUNTERTERRORISM(2)	K AW N ER T EH R ER IH Z AH M
COUNTERTERRORIST(2)	K AW N ER T EH R ER IH S T
COUNTERTERRORISTS(2)	K AW N ER T EH R ER IH S
COUNTERTOP(2)	K AW N ER T AA P
COUNTERTOPS(2)	K AW N ER T AA P S
COUNTIES(2)	K AW N IY Z
COUNTING(2)	K AW N IH NG
COUNTY'S(2)	K AW N IY Z
COUNTY(2)	K AW N IY
COUPON(2)	K Y UW P AO N
COUPONING(2)	K Y UW P AA N IH NG
COUPONITE(2)	K Y UW P AA N AY T
COUPONITES(2)	K Y UW P AA N AY T S
COUPONS(2)	K Y UW P AO N Z
COUPS(2)	K UW
COURAGE(2)	K ER IH JH
COURSES(2)	K AO R S IH Z
COURTEMANCHE(2)	K AO R T M AA N SH
COURTENAY(2)	K AO R T N EY
COUSENS(2)	K AW S AH N Z
COVEN(2)	K OW V AH N
COVERAGE(2)	K AH V ER IH JH
COVERAGE(3)	K AH V R IH JH
COVERAGES(2)	K AH V ER IH JH IH Z
COVERAGES(3)	K AH V R IH JH IH Z
COVERING(2)	K AH V R IH NG
COWEN(2)	K OW AH N
COWENS(2)	K OW AH N Z
COWPER(2)	K UW P ER
COYOTE(2)	K AY OW T
COYOTES(2)	K AY OW T S
CRADLING(2)	K R EY D L IH NG
CRAFTS(2)	K R AE F S
CRAFTSMAN(2)	K R AE F S M AH N
CRAFTSMANSHIP(2)	K R AE F S M AH N SH IH P
CRAFTSMEN(2)	K R AE F S M EH N
CRAFTSPEOPLE(2)	K R AE F S P IY P AH L
CREATED(2)	K R IY EY T IH D
CREDENTIAL(2)	K R AH D EH N SH AH L
CREDENTIALED(2)	K R AH D EH N SH AH L D
CREDENTIALS(2)	K R AH D EH N CH AH L Z
CREDIT(2)	K R EH D IH T
CREDITED(2)	K R EH D IH T IH D
CREDITOR(2)	K R EH D IH T ER
CREDO(2)	K R IY D OW
CRESAP(2)	K R IY S AH P
CRESSES(2)	K R EH S IH Z
CREUTZFELDT(2)	K R UH T S F EH L T
CREVELING(2)	K R EH V L IH NG
CRICKET(2)	K R IH K IH T
CRIMEAN(2)	K R AY M IY AH N
CRIPPLING(2)	K R IH P L IH NG
CRISLER(2)	K R IH S L ER
CRISTIANI'S(2)	K R IH S CH IY AA N IY Z
CRISTIANI(2)	K R IH S CH IY AA N IY
CRITICALLY(2)	K R IH T IH K L IY
CRITIQUE(2)	K R IH T IY K
CROISSANT(2)	K R AH S AA N T
CROISSANTS(2)	K R AH S AA N T S
CROSSPIECES(2)	K R AO S P IY S IH Z
CROWDED(2)	K R AW D IH D
CRUEL(2)	K R UW L
CRUELTIES(2)	K R UW AH L T IY Z
CRUELTY(2)	K R UW AH L T IY
CRUMBLING(2)	K R AH M B L IH NG
CRUMPLER(2)	K R AH M P L ER
CRUZAN(2)	K R UW Z AE N
CRYSLER(2)	K R IH S L ER
CUCKOO(2)	K UW K UW
CUISINART(2)	K W IY Z AH N AA T
CULMINATED(2)	K AH L M AH N EY T IH D
CULTIST(2)	K AH L T IH S T
CURATOR'S(2)	K Y UH R AH T ER Z
CURATOR(2)	K Y UH R AH T ER
CURATORS(2)	K Y UH R EY T ER Z
CURRAGH(2)	K ER AH
CURRENT(2)	K ER N T
CURRENT(3)	K AA R AH N T
CURRY'S(2)	K ER IY Z
CURRY(2)	K ER IY
CURRYS(2)	K ER IY Z
CURTIS(2)	K ER T IH S
CUS(2)	S IY Y UW EH S
CUSH(2)	K UH SH
CUSHIONING(2)	K UH SH N IH NG
CUSIP(2)	K Y UW S IH P
CUSO'S(2)	K UW S OW Z
CUSO(2)	K UW S OW
CUTICLE(2)	K Y UW T IH K AH L
CXC(2)	S IY EH K S IY
CYANIDE(2)	S AY N AY D
CYB(2)	S IY W AY B IY
CYCLADES(2)	S AY K L AE D Z
CYCLICAL(2)	S IH K L IH K AH L
CYCLING(2)	S AY K L IH NG
CYCLIST(2)	S AY K L IH S T
CYCLISTS(2)	S AY K L IH S T S
CYCLISTS(3)	S AY K AH L IH S
CYCLISTS(4)	S AY K L IH S
CYLINDER(2)	S IH L IH N D ER
CYLINDRICAL(2)	S IH L IH N D R IH K AH L
CYNICALLY(2)	S IH N IH K L IY
CYPRESS(2)	S AY P R IH S
CYPRIOT(2)	S IH P R IY AA T
CYPRIOTS(2)	S IH P R IY AA T S
CYRANO(2)	S IH R AH N OW
CYRIX'S(2)	S IH R IH K S IH Z
CYRIX(2)	S IH R IH K S
D'ALESSANDRO(2)	D AA L EH S AE N D R OW
D'ALESSI(2)	D AH L EY S IY
D'ELECTRICITE(2)	D AH L EH K T R IH S IH T EY
D'ETAT(2)	D EY T AA
D'SOUZA(2)	D IY S UW Z AH
DA(2)	D IY EY
DABAH(2)	D AH B AA
DABBLING(2)	D AE B L IH NG
DAEDALUS(2)	D EY D AE L AH S
DAEMON(2)	D EY M AH N
DAHN(2)	D AA N
DAIMLER(2)	D EH M L ER
DAK(2)	D IY EY K EY
DALAI(2)	D AO L AY
DALAI(3)	D AA L IY
DALGLEISH(2)	D AE L G L IH SH
DAMAGE(2)	D AE M IH JH
DAMAGED(2)	D AE M IH JH D
DAMAGES(2)	D AE M IH JH IH Z
DAMERLIN(2)	D AE M ER L IH N
DAMME(2)	D EY M
DAMPENING(2)	D AE M P N IH NG
DANCES(2)	D AE N S IH Z
DANGLER(2)	D AE NG G L ER
DANGLING(2)	D AE NG G L IH NG
DANIELLE(2)	D AE N Y EH L
DANIELS'S(2)	D AE N Y EH L Z IH Z
DANJUS(2)	D AE N JH UW Z
DANNEMEYER(2)	D AE N M AY R
DANNEMILLER(2)	D AE N M IH L ER
DARENSBOURG(2)	D AE R AH N Z B ER G
DARJEELING(2)	D AA R ZH IY L IH NG
DARKENING(2)	D AA R K N IH NG
DARNEDEST(2)	D AA R N EH S T
DARR(2)	D AA R
DAS(2)	D AA S
DASA(2)	D AE S AH
DATA'S(2)	D AE T AH Z
DATA(2)	D AE T AH
DATABASE(2)	D AE T AH B EY S
DATABASES(2)	D AE T AH B EY S IH Z
DATACARD(2)	D AE T AH K AA R D
DATACARDS(2)	D AE T AH K AA R D Z
DATACOMM(2)	D AE T AH K AA M
DATACOMP(2)	D AE T AH K AA M P
DATACOPY(2)	D AE T AH K AA P IY
DATAMETRICS(2)	D AE T AH M EH T R IH K S
DATAPOINT'S(2)	D AE T AH P OY N T S
DATAPOINT(2)	D AE T AH P OY N T
DATAPOINTS(2)	D AE T AH P OY N T S
DATAPOWER(2)	D AE T AH P AW R
DATAPRODUCTS'(2)	D AE T AH P R AO D AH K T S
DATAQUEST'S(2)	D AE T AH K W EH S T S
DATAQUEST(2)	D AE T AH K W EH S T
DATARAM(2)	D AE T ER AE M
DATAREX(2)	D AE T ER EH K S
DATAS(2)	D AE T AH Z
DATSUN'S(2)	D AA T S AH N Z
DATSUN(2)	D AA T S AH N
DATUM(2)	D EY T AH M
DAVAO(2)	D EY V OW
DAVIS'(2)	D EY V AH S AH Z
DAVIS'S(2)	D EY V IH S IH Z
DAVIS(2)	D EY V IH S
DAZZLING(2)	D AE Z L IH NG
DE(2)	D EY
DE(3)	D AH
DEADENING(2)	D EH D N IH NG
DEAFENING(2)	D EH F N IH NG
DEANDREA'S(2)	D IY AE D R EY AH Z
DEANDREA(2)	D IY AE D R EY AH
DEATHERAGE(2)	D EH TH R IH JH
DEBARTOLO(2)	D AH B AA R T AH L OW
DEBARTOLOS(2)	D IH B AA R T OW L OW Z
DEBLUM(2)	D AH B L AH M
DEBORAH'S(2)	D EH B R AH Z
DEBORAH(2)	D EH B R AH
DEBUSSY'S(2)	D IH B Y UW S IY Z
DEBUSSY(2)	D IH B Y UW S IY
DECAROLIS(2)	D IH K ER AH L IH S
DECAY(2)	D IH K EY
DECAYING(2)	D IH K EY IH NG
DECEIT(2)	D IH S IY T
DECEITFUL(2)	D IH S IY T F AH L
DECHINE(2)	D AH CH IH N
DECOMPOSITION(2)	D IY K AH M P AH Z IH SH AH N
DECONGESTANT(2)	D IY K AH N JH EH S T AH N T
DECONGESTANTS(2)	D IY K AH N JH EH S T AH N T S
DECOR(2)	D EY K AO R
DECORATED(2)	D EH K ER EY T IH D
DECREASE(2)	D IY K R IY S
DECREASED(2)	D IY K R IY S T
DECREASES(2)	D IH K R IY S IH Z
DECREASES(3)	D IY K R IY S IH Z
DECREASING(2)	D IY K R IY S IH NG
DEEDED(2)	D IY D IH D
DEEHAN(2)	D IY AH N
DEEPENING(2)	D IY P N IH NG
DEFAZIO(2)	D IH F EY Z IY OW
DEFEATED(2)	D IH F IY T IH D
DEFECT(2)	D IH F EH K T
DEFECTS(2)	D IH F EH K T S
DEFENDED(2)	D IH F EH N D IH D
DEFENSES(2)	D IH F EH N S IH Z
DEFERENCE(2)	D EH F R AH N S
DEFERENTIAL(2)	D EH F ER EH N SH AH L
DEFILIPPIS(2)	D AH F AH L IH P AH S
DEFORREST(2)	D IH F AO R IH S T
DEFUSED(2)	D IY F Y UW Z D
DEGAS(2)	D EY G AH
DEGENERATE(2)	D IH JH EH N ER EY T
DEGENERES(2)	D IY JH IH N EH R EH S
DEGRACE(2)	D IH G R EY S
DEGRADED(2)	D IH G R EY D IH D
DEIBLER(2)	D AY B L ER
DEION(2)	D IY AA N
DEIS(2)	D EY IH Z
DEJA(2)	D EY ZH AA
DELACROIX(2)	D AH L AH K R OY
DELANO(2)	D EH L AH N OW
DELEGATE(2)	D EH L AH G AH T
DELEGATES(2)	D EH L AH G AH T S
DELELLIS(2)	D IH L EH L IH S
DELGADIO(2)	D EH L G AA D Y OW
DELIAL(2)	D IY L AY EH L
DELIBERATE(2)	D IH L IH B ER EY T
DELIBERATE(3)	D IH L IH B R AH T
DELIBERATELY(2)	D IH L IH B R AH T L IY
DELIBERATES(2)	D IH L IH B R EY T S
DELIBERATIVE(2)	D IH L IH B R AH T IH V
DELICACY(2)	D EH L IH K AH S IY
DELIGHTED(2)	D IH L AY T IH D
DELILAH(2)	D IH L AY L AH
DELIVERABLE(2)	D IH L IH V R AH B AH L
DELIVERANCE(2)	D IH L IH V R AH N S
DELIVERIES(2)	D IH L IH V R IY Z
DELLAERT(2)	D EH L ER T
DELORE'S(2)	D AH L AO R IY Z
DELORE(2)	D AH L AO R IY
DELORENZO(2)	D EY L AO R EH N Z OW
DELOSREYES(2)	D EH L OW S R EY Z
DELOSREYES(3)	D EH L OW S R EY AH Z
DEMAIO(2)	D IH M AA OW
DEMANDED(2)	D IH M AE N D IH D
DEMARCHE(2)	D IY M AA R CH
DEMERIST(2)	D EH M ER IH S T
DEMILLE(2)	D IH M IH L
DEMILO(2)	D IH M AY L OW
DEMJANJUK'S(2)	D EH M Y AE N Y UW K S
DEMJANJUK(2)	D EH M Y AE N Y UW K
DEMOBILIZATION(2)	D IY M OW B AH L AH Z EY SH AH N
DEMONSTRATED(2)	D EH M AH N S T R EY T IH D
DENEKE(2)	D EH N IH K AH
DENEUVE(2)	D IY N AH V
DENGLER(2)	D IH NG L ER
DENLINGER(2)	D EH N L IH NG ER
DENLINGER(3)	D EH N L IH N JH ER
DENOSSE(2)	D IH N AO S IY
DENSITY(2)	D EH N S IH T IY
DENSMORE(2)	D EH N S M AO R
DENTAL(2)	D EH N AH L
DENTALS(2)	D EH N AH L Z
DENTIST(2)	D EH N T IH S T
DENTIST(3)	D EH N IH S T
DENTISTRY(2)	D EH N IH S T R IY
DENTISTS'(2)	D EH N IH S T S
DENTISTS(2)	D EH N T IH S T S
DENUCLEARIZED(2)	D IY N UW K L IY ER AY Z D
DEPARDIEU(2)	D IY P AA R D UW
DEPARTED(2)	D IH P AA R T IH D
DEPARTMENTAL(2)	D IH P AA R T M EH N T AH L
DEPARTMENTALIZE(2)	D IH P AA R T M EH N AH L AY Z
DEPARTMENTALIZED(2)	D IH P AA R T M EH N AH L AY Z D
DEPENDED(2)	D IH P EH N D IH D
DEPERSONALIZE(2)	D IY P ER S N AH L AY Z
DEPHILLIPS(2)	D IH F IH L IH P S
DEPICTED(2)	D IH P IH K T IH D
DEPICTS(2)	D IH P IH K S
DEPO(2)	D EH P OW
DEPOPULATION(2)	D IY P AA P Y AH L EY SH AH N
DEPOSIT(2)	D IH P AA Z AH T
DEPOSITARY(2)	D IH P AA Z IH T EH R IY
DEPOSITED(2)	D IH P AA Z AH T AH D
DEPOSITS(2)	D IH P AA Z AH T S
DEPRESSES(2)	D IH P R EH S IH Z
DEPRIEST(2)	D IH P R IY S T
DEPUTIES(2)	D EH P Y UW T IY Z
DEPUTY(2)	D EH P Y UW T IY
DERELICTS(2)	D EH R AH L IH K S
DERFLINGER(2)	D ER F L IH NG ER
DERISIVE(2)	D ER AY S IH V
DERISIVELY(2)	D ER AY S IH V L IY
DERIVATIVE(2)	D ER IH V IH T IH V
DERIVES(2)	D IH R AY V Z
DES(2)	D IH
DESCENDANTS(2)	D IH S EH N IH N T S
DESCENDED(2)	D IH S EH N D IH D
DESCHLER(2)	D EH SH L ER
DESECRATE(2)	D EH S AH K R EY T
DESECRATED(2)	D EH S AH K R EY T IH D
DESECRATES(2)	D EH S AH K R EY T S
DESECRATION(2)	D EH Z AH K R EY SH AH N
DESECRATIONS(2)	D EH Z AH K R EY SH AH N Z
DESEGREGATION(2)	D IY S EH G R AH G EY SH AH N
DESERET(2)	D EH Z ER EY
DESERT(2)	D IH Z ER T
DESERTS(2)	D IH Z ER T S
DESIGNATE(2)	D EH Z IH G N EY T
DESIGNATION(2)	D EH Z IH G N EY SH AH N
DESIRABLE(2)	D IH Z AY ER AH B AH L
DESIST(2)	D IH Z IH S T
DESMA(2)	D EH Z M AH
DESOLATE(2)	D EH Z AH L AH T
DESOLATE(3)	D EH S AH L EY T
DESOUSA(2)	D IH S UW S AH
DESPERATE(2)	D EH S P ER IH T
DESPERATELY(2)	D EH S P R AH T L IY
DESPERATION(2)	D EH S P ER EY SH IH N
DESROSIERS(2)	D EY R OW ZH IH R Z
DESSAUER(2)	D EH S AW R
DESTINATION(2)	D EH S T IH N EY SH AH N
DES_MOINES(2)	D IH M OY N
DETACH(2)	D IY T AE CH
DETACHABLE(2)	D IY T AE CH AH B AH L
DETACHED(2)	D IY T AE CH T
DETACHES(2)	D IY T AE CH AH Z
DETACHMENT(2)	D IY T AE CH M AH N T
DETAIL(2)	D IY T EY L
DETAILS(2)	D IY T EY L Z
DETAR(2)	D IY T AA R
DETECTED(2)	D IH T EH K T IH D
DETERMINE(2)	D IH T ER M AH N
DETERMINEDLY(2)	D AH T ER M AH N D L IY
DETERMINES(2)	D IH T ER M AH N Z
DETEST(2)	D IY T EH S T
DETESTED(2)	D IY T EH S T IH D
DETHOMAS(2)	D IH T AA M AH S
DETHRONE(2)	D IY TH R OW N
DETHRONED(2)	D IY TH R OW N D
DETOUR(2)	D IY T UH R
DETOURS(2)	D IY T UH R Z
DETRACTORS(2)	D IY T R AE K T ER Z
DETRIMENTAL(2)	D EH T R AH M EH N AH L
DETRITUS(2)	D EH T R AH T AH S
DETROIT'S(2)	D IH T R OY T S
DETROIT(2)	D IY T R OY T
DETROITERS(2)	D IY T R OY T ER Z
DEUBLER(2)	D OY B L ER
DEVALLE(2)	D IH V AE L IY
DEVALUATION(2)	D IY V AE L Y UW EY SH AH N
DEVALUED(2)	D IY V AE L Y UW D
DEVASTATED(2)	D EH V AH S T EY T IH D
DEVELOPMENTAL(2)	D IH V EH L AH P M EH N AH L
DEVELOPMENTALLY(2)	D IH V EH L AH P M EH N T AH L IY
DEVIANCY(2)	D IY V Y EH N S IY
DEVICES(2)	D IH V AY S IH Z
DEVILBISS(2)	D IH V IH L B IH S
DEVILISHLY(2)	D EH V L IH SH L IY
DEVISE(2)	D IH V AY S
DEVOTED(2)	D IH V OW T IH D
DEWAYNE(2)	D IY W EY N
DEWINTER(2)	D IH W IH N T ER
DEXTERITY(2)	D EH K S T EH R IH T IY
DEYTON(2)	D EY T AH N
DFW(2)	D IY EH F D AH B AH Y UW
DHAKA(2)	D AE K AH
DHAKA(3)	D AE K AE
DI(2)	D AY
DIABLO(2)	D IY AE B L OW
DIAL'S(2)	D AY L Z
DIAL(2)	D AY L
DIALING(2)	D AY L IH NG
DIALS(2)	D AY L Z
DIALTONE(2)	D AY L T OW N
DIALYSIS(2)	D AY AE L IH S IH S
DIAMANDIS(2)	D IY AH M AE N D IH S
DIAMETRICALLY(2)	D AY AH M EH T R IH K L IY
DIAPERS(2)	D AY P ER Z
DIARIES(2)	D AY R IY Z
DIARY(2)	D AY R IY
DIAZ(2)	D IY AA Z
DICKSTEIN'S(2)	D IH K S T IY N Z
DICKSTEIN(2)	D IH K S T IY N
DICOMED(2)	D IY K OW M D
DICTATED(2)	D IH K T EY T IH D
DIDN'T(2)	D IH D N T
DIDN'T(3)	D IH D AH N
DIDN'T(4)	D IH N T
DIESEL(2)	D IY Z AH L
DIFABIO(2)	D IH F AE B IY OW
DIFELICE(2)	D IH F EH L IY S
DIFELICE(3)	D IH F IH L IY CH EY
DIFFERENCE(2)	D IH F R AH N S
DIFFERENCES(2)	D IH F R AH N S AH Z
DIFFERENT(2)	D IH F R AH N T
DIFFERENTIAL(2)	D IH F ER EH N CH AH L
DIFFERENTIALS(2)	D IH F ER EH N CH AH L Z
DIFFERENTIATE(2)	D IH F ER EH N CH IY EY T
DIFFERENTIATED(2)	D IH F ER EH N CH IY EY T AH D
DIFFERENTIATES(2)	D IH F ER EH N CH IY EY T S
DIFFERENTIATING(2)	D IH F ER EH N CH IY EY T IH NG
DIFFERENTIATION(2)	D IH F ER EH N CH IY EY SH AH N
DIFFERENTLY(2)	D IH F ER EH N T L IY
DIFFERING(2)	D IH F R IH NG
DIFFICULTIES(2)	D IH F IH K AH L T IY Z
DIFFICULTY(2)	D IH F IH K AH L T IY
DIFFUSE(2)	D IH F Y UW Z
DIFIORE(2)	D AH F Y AO R IY
DIFM(2)	D IY AY EH F EH M
DIGESTS(2)	D AY JH EH S T S
DIGESTS(3)	D AH JH EH S
DIGESTS(4)	D AY JH EH S
DIGIT(2)	D IH JH IH T
DIGITAL'S(2)	D IH JH IH T AH L Z
DIGITAL(2)	D IH JH IH T AH L
DIGITI(2)	D IH JH AH T IY
DIGITS(2)	D IH JH IH T S
DIJON(2)	D IY ZH OW N
DILIGENCE(2)	D IH L IH JH AH N S
DILLARD'S(2)	D IH L AA R D Z
DILLARD'S(3)	D IH L AH D Z
DILLARD(2)	D IH L AA R D
DILLARD(3)	D IH L AH D
DILUTE(2)	D IH L UW T
DILUTED(2)	D IH L UW T AH D
DILUTES(2)	D IH L UW T S
DILUTING(2)	D IH L UW T IH NG
DILUTION(2)	D IH L UW SH AH N
DILUTIVE(2)	D IY L UW T IH V
DINARS(2)	D IH N AA R Z
DINATALE(2)	D IY N AA T AA L IY
DINGLER(2)	D IH NG G L ER
DIOCESE(2)	D AY AH S AH S
DIOCESES(2)	D AY AH S IY Z AH Z
DION(2)	D IY AO N
DIPASQUALE(2)	D IY P AA S K W AA L IY
DIPIAZZA(2)	D IY P IY AA T S AH
DIRE(2)	D AY ER
DIRECT(2)	D AY R EH K T
DIRECT(3)	D IH R EH K T
DIRECTED(2)	D ER EH K T IH D
DIRECTED(3)	D AY R EH K T IH D
DIRECTED(4)	D IH R EH K T IH D
DIRECTING(2)	D IY R EH K T IH NG
DIRECTING(3)	D AY R EH K T IH NG
DIRECTING(4)	D IH R EH K T IH NG
DIRECTION(2)	D IY R EH K SH IH N
DIRECTION(3)	D AY R EH K SH IH N
DIRECTION(4)	D IH R EH K SH IH N
DIRECTIONAL(2)	D IY R EH K SH IH N AH L
DIRECTIONAL(3)	D AY R EH K SH IH N AH L
DIRECTIONAL(4)	D IH R EH K SH IH N AH L
DIRECTIONLESS(2)	D IY R EH K SH IH N L AH S
DIRECTIONLESS(3)	D AY R EH K SH IH N L AH S
DIRECTIONLESS(4)	D IH R EH K SH IH N L AH S
DIRECTIONS(2)	D IY R EH K SH IH N Z
DIRECTIONS(3)	D AY R EH K SH IH N Z
DIRECTIONS(4)	D IH R EH K SH IH N Z
DIRECTIVE(2)	D IY R EH K T IH V
DIRECTIVE(3)	D AY R EH K T IH V
DIRECTIVE(4)	D IH R EH K T IH V
DIRECTIVES(2)	D IY R EH K T IH V Z
DIRECTIVES(3)	D ER EH K T IH V Z
DIRECTIVES(4)	D IH R EH K T IH V Z
DIRECTLY(2)	D IY R EH K L IY
DIRECTLY(3)	D AY R EH K L IY
DIRECTLY(4)	D IH R EH K L IY
DIRECTNESS(2)	D IY R EH K N AH S
DIRECTNESS(3)	D AY R EH K N AH S
DIRECTNESS(4)	D IH R EH K N AH S
DIRECTOR'S(2)	D ER EH K T ER Z
DIRECTOR'S(3)	D IY R EH K T ER Z
DIRECTOR'S(4)	D IH R EH K T ER Z
DIRECTOR(2)	D AY R EH K T ER
DIRECTOR(3)	D IY R EH K T ER
DIRECTOR(4)	D IH R EH K T ER
DIRECTORATE(2)	D AY R EH K T ER AH T
DIRECTORATE(3)	D IY R EH K T ER AH T
DIRECTORATE(4)	D IH R EH K T ER AH T
DIRECTORIAL(2)	D AY R EH K T AO R IY AH L
DIRECTORIAL(3)	D IY R EH K T AO R IY AH L
DIRECTORIAL(4)	D IH R EH K T AO R IY AH L
DIRECTORIES(2)	D ER EH K T ER IY Z
DIRECTORIES(3)	D IY R EH K T ER IY Z
DIRECTORIES(4)	D IH R EH K T ER IY Z
DIRECTORS'(2)	D ER EH K T ER Z
DIRECTORS'(3)	D IY R EH K T ER Z
DIRECTORS(2)	D AY R EH K T ER Z
DIRECTORS(3)	D IY R EH K T ER Z
DIRECTORS(4)	D IH R EH K T ER Z
DIRECTORSHIP(2)	D AY R EH K T ER SH IH P
DIRECTORSHIP(3)	D IY R EH K T ER SH IH P
DIRECTORSHIP(4)	D IH R EH K T ER SH IH P
DIRECTORSHIPS(2)	D AY R EH K T ER SH IH P S
DIRECTORSHIPS(3)	D IY R EH K T ER SH IH P S
DIRECTORSHIPS(4)	D IH R EH K T ER SH IH P S
DIRECTORY(2)	D AY R EH K T ER IY
DIRECTORY(3)	D IY R EH K T ER IY
DIRECTORY(4)	D IH R EH K T ER IY
DIRECTS(2)	D AY R EH K T S
DIRECTS(3)	D IY R EH K T S
DIRECTS(4)	D IH R EH K T S
DIRECTV(2)	D AY R EH K T IY V IY
DIRECTV(3)	D IY R EH K T IY V IY
DIRECTV(4)	D IH R EH K T IY V IY
DISABILITIES(2)	D IH S AH B IH L IH T IY Z
DISABILITY(2)	D IH S AH B IH L IH T IY Z
DISABLING(2)	D IH S EY B L IH NG
DISABUSE(2)	D IH S AH B Y UW Z
DISADVANTAGE(2)	D IH S AH D V AE N IH JH
DISADVANTAGED(2)	D IH S AH D V AE N IH JH D
DISADVANTAGES(2)	D IH S AH D V AE N IH JH Z
DISAPPEAR(2)	D IH S AH P IY R
DISAPPEARANCE(2)	D IH S AH P IY R AH N S
DISAPPEARANCES(2)	D IH S AH P IY R AH N S IH Z
DISAPPEARED(2)	D IH S AH P IY R D
DISAPPEARING(2)	D IH S AH P IY R IH NG
DISAPPEARS(2)	D IH S AH P IY R Z
DISAPPOINTED(2)	D IH S AH P OY N IH D
DISAPPOINTING(2)	D IH S AH P OY N IH NG
DISAPPOINTINGLY(2)	D IH S AH P OY N IH NG L IY
DISARRAY(2)	D IH S AH R EY
DISASSOCIATE(2)	D IH S AH S OW S IY EY T
DISASSOCIATED(2)	D IH S AH S OW S IY EY T AH D
DISCOUNTED(2)	D IH S K AW N IH D
DISCOUNTERS(2)	D IH S K AW N ER R Z
DISCOUNTING(2)	D IH S K AW N IH NG
DISCOURAGED(2)	D IH S K ER IH JH D
DISCOURAGING(2)	D IH S K ER IH JH IH NG
DISCOVERABLE(2)	D IH S K AH V R AH B AH L
DISCOVERY'S(2)	D IH S K AH V R IY Z
DISCOVERY(2)	D IH S K AH V R IY
DISCRIMINATED(2)	D IH S K R IH M AH N EY T IH D
DISCUSSES(2)	D IH S K AH S IH Z
DISE(2)	D AY Z
DISEASES(2)	D IH Z IY Z IH Z
DISENCHANTED(2)	D IH S IH N CH AE N IH D
DISGRUNTLED(2)	D IH S G R AH N AH L D
DISGRUNTLING(2)	D IH S G R AH N T L IH NG
DISGUSTED(2)	D IH S G AH S T IH D
DISHEARTENING(2)	D IH S HH AA R T N IH NG
DISHES(2)	D IH SH IH Z
DISINTEGRATION(2)	D IH S IH N AH G R EY SH AH N
DISINTERESTED(2)	D IH S IH N R IH S T IH D
DISINVESTMENT(2)	D IH S IH N V EH S M AH N T
DISMANTLE(2)	D IH S M AE N AH L
DISMANTLED(2)	D IH S M AE N AH L D
DISMANTLING(2)	D IH S M AE N AH L IH NG
DISMANTLING(3)	D IH S M AE N T L IH NG
DISOBEDIENCE(2)	D IH S OW B IY D IY AH N S
DISOBEDIENT(2)	D IH S OW B IY D IY AH N T
DISPARATE(2)	D IH S P EH R IH T
DISPENSARY(2)	D IH S P EH N S EH R IY
