A.S	ey z
BUDGE	b ah jh
BUDGET	b ah jh ih t
BUDIN	b uw d ih n
BUDNICK	b ah d n ih k
BUDVAR	b ah d v aa r
BUDZ	b ah d z
BUE	b w eh
BUERRY	b eh r iy
BUFFALO	b ah f ah l ow
BUGGERS	b ah g er z
BUGGY	b ah g iy
BUGLE	b y uw g ah l
BUHRMAN	b uh r m ah n
BUICKS	b y uw ih k s
BUILDER	b ih l d er
BUILDUP	b ih l d ah p
BUKAR	b y uw k aa r
BULAT	b uw l ah t
BULEMIA	b ah l iy m iy ah
BULKLEY	b ah l k l iy
BULLIED	b uh l iy d
BULLION	b uh l y ah n
BULSON	b uh l s ah n
BULTEMA	b uw l t eh m ah
BULTMAN	b uh l t m ah n
BUM	b ah m
BUMMED	b ah m d
BUMPASS	b ah m p ae s
BUMPUS	b ah m p ah s
BUNDE	b ah n d
BUNDREN	b ah n d er ah n
BUNGE	b ah n jh
BUNGER	b ah ng er
BUNNIES	b ah n iy z
BUNZL	b ah n z ah l
BURAN	b y uw r ah n
BURDI	b uh r d iy
BURGAMY	b er g ah m iy
BURGHER	b er g er
BURHAM	b er hh ah m
BURKUS	b er k ah s
BURLEY	b er l iy
BURMA'S	b er m ah z
BURNELL	b er n ah l
BURNES	b er n z
BURNHAM	b er n ah m
BURNLEY	b er n l iy
BURNS'S	b er n z ih z
BUROW	b y uh r ow
BURR	b er
BURRIS	b er ih s
BURSE	b er s
BURSEY	b er s iy
BURSTON	b er s t ah n
BUSBEY	b ah s b iy
BUSCH'S	b uh sh ih z
BUSHAW	b uh sh ao
BUSHEY	b uh sh iy
BUSHMAN	b uh sh m ah n
BUSHY	b uh sh iy
BUSIED	b ih z iy d
BUSIER	b ih z iy er
BUSK	b ah s k
BUSSA	b uw s ah
BUSSE	b ah s
BUSSELL	b ah s ah l
BUTERA	b uw t eh r ah
BUTMAN	b ah t m ah n
BUTSCH	b ah ch
BUTTARS	b ah t er z
BUTTING	b ah t ih ng
BUTTON	b ah t ah n
BUTTRUM	b ah t r ah m
BUTTRY	b ah t r iy
BUY	b ay
BUYOUT	b ay aw t
BUZA	b y uw z ah
BYARD	b y aa r d
BYER	b ay er
BYERS'	b ay er z
BYGONE	b ay g ao n
BYLSMA	b ih l s m ah
BYRD	b er d
BYRLE	b ay r ah l
BYRNES	b er n z
C-SPAN	s iy s p ae n
C.O.D.	s iy ow d iy
C1	s iy w ah n
C5	s iy f ay v
CAB	k ae b
CABLE	k ey b ah l
CABOT	k ae b ah t
CABRINI	k ah b r iy n iy
CABS	k ae b z
CACAO	k ah k ey ow
CACHO	k ae ch ow
CACIQUE	k ah s iy k
CAD	k ae d
CADAVER	k ah d ae v er
CADE	k ey d
CADENCE	k ey d ah n s
CADETS	k ah d eh t s
CADIEUX	k ae d iy ow
CADLE	k ey d ah l
CAFFEE	k ae f iy
CAHNERS	k aa n er z
CAIL	k ey l
CAIRN	k eh r n
CAKED	k ey k t
CALCUTT	k ae l k ah t
CALGARY	k ae l g er iy
CALLARI	k aa l aa r iy
CALLAS	k ae l ah z
CALLED	k ao l d
CALLEJA	k aa l ey y ah
CALLERS	k ao l er z
CALLEY	k ae l iy
CALMEST	k aa m ah s t
CALTEX	k ah l t eh k s
CAMAROS	k ah m aa r ow s
CAMBRON	k ae m b r ah n
CAMELOT	k ae m ah l aa t
CAMELS	k ae m ah l z
CAMERAS	k ae m er ah z
CAMPANA	k aa m p ae n ah
CAMPO	k ae m p ow
CAMPS	k ae m p s
CAMPUS	k ae m p ah s
CAMUSO	k aa m uw s ow
CANADAY	k ae n ah d ey
CANEZ	k aa n eh z
CANINE	k ey n ay n
CANION	k ae n y ah n
CANKERS	k ae ng k er z
CANNAVO	k aa n aa v ow
CANNOT	k ae n aa t
CANON	k ae n ah n
CANRAD	k ae n r ae d
CANSECO	k ae n s eh k ow
CANSON	k ae n s ah n
CANTEY	k ae n t iy
CANTORS	k ae n t er z
CANTU	k ae n t uw
CAPECI	k ah p eh ch iy
CAPEK	k ae p ih k
CAPELLO	k ah p eh l ow
CAPITO	k aa p iy t ow
CAPPED	k ae p t
CAPRARO	k aa p r aa r ow
CAPTURE	k ae p ch er
CAPUANO	k aa p uw aa n ow
CARA'S	k eh r ah z
CARAHER	k ae r ah hh er
CARANO	k aa r aa n ow
CARAS	k aa r ah z
CARAWAY	k ae r ah w ey
CARCASS	k aa r k ah s
CARDS	k aa r d z
CARELLI	k aa r eh l iy
CARENA	k eh r iy n ah
CARFORA	k aa r f ao r ah
CARIDAD	k ae r ah d ae d
CARILLA	k aa r ih l ah
CARIN	k ae r ih n
CARLA'S	k aa r l ah z
CARLSEN	k aa r l s ah n
CARMACK	k aa r m ah k
CARMY	k aa r m iy
CARNES	k aa r n z
CAROSI	k er ow s iy
CARPING	k aa r p ih ng
CARPORT	k aa r p ao r t
CARRE	k aa r
CARREL	k ae r ah l
CARRIE	k eh r iy
CARRINO	k aa r iy n ow
CARSTEN	k aa r s t ah n
CARTEE	k aa r t iy
CARTON	k aa r t ah n
CARVES	k aa r v z
CARWELL	k aa r w eh l
CASASSA	k aa s aa s ah
CASCO	k ae s k ow
CASE	k ey s
CASEZE	k ah s iy z iy
CASHATT	k ae sh ah t
CASHES	k ae sh ih z
CASHMAN	k ae sh m ah n
CASINGS	k ey s ih ng z
CASSO	k ae s ow
CASTE	k ae s t
CASTOR	k ae s t er
CASUALS	k ae zh ah w ah l z
CATALDI	k aa t aa l d iy
CATELLI	k ah t eh l iy
CATES	k ey t s
CATON	k ae t ah n
CATS	k ae t s
CATT	k ae t
CAUSER	k ao z er
CAUSES	k aa z ah z
CAVALLO	k ah v ae l ow
CAVALRY	k ae v ah l r iy
CAVEAT	k ey v iy ae t
CAXTON	k ae k s t ah n
CAYMAN	k ey m ah n
CAYSON	k ey s ah n
CDC	s iy d iy s iy
CEARLEY	s er l iy
CEASE	s iy s
CECALA	ch eh k aa l ah
CECIL'S	s iy s ah l z
CEDE	s iy d
CEL	s eh l
CELENA	ch eh l eh n ah
CELERY	s eh l er iy
CELIA	s iy l y ah
CELIS	s eh l ih s
CELL	s eh l
CELLIO	ch eh l iy ow
CELLIST	ch eh l ah s t
CELLPRO	s eh l p r ow
CENSURE	s eh n sh er
CENTURI	s eh n t uh r iy
CEP	s eh p
CERNUDA	s er n uw d ah
CERRUTI	ch er uw t iy
CERSKA	k er s k ah
CERULLI	ch er uw l iy
CERUS	s eh r ah s
CESARZ	s ey s aa r z
CESIUM	s iy z iy ah m
CESTARO	ch eh s t aa r ow
CETUS	s iy t ah s
CETUS'S	s iy t ah s ih z
CHAFEE	ch ae f iy
CHAFFIN	ch ae f ih n
CHAIN	ch ey n
CHAIRES	sh eh r z
CHALK	ch aa k
CHALLIS	sh ae l iy
CHANDRA	ch ae n d r ah
CHANLEY	ch ae n l iy
CHANNEL	ch ae n ah l
CHAP	ch ae p
CHAPEL	ch ae p ah l
CHAPLAN	ch ae p l ah n
CHAPPIE	ch ae p iy
CHAR	ch aa r
CHARADE	sh er ey d
CHARD	ch aa r d
CHARTER	ch aa r t er
CHASE'S	ch ey s ih z
CHASTE	ch ey s t
CHATMON	ch ae t m ah n
CHATTIN	ch ae t ih n
CHAZZ	ch ae z
CHE'S	ch ey z
CHEAPEN	ch iy p ah n
CHEAPLY	ch iy p l iy
CHECKER	ch eh k er
CHECKS	ch eh k s
CHEER	ch ih r
CHEERS	ch ih r z
CHEIL	ch ay l
CHEKHOV	ch eh k aa v
CHELAN	ch eh l ah n
CHEMEL	k eh m eh l
CHERISH	ch eh r ih sh
CHERNEY	ch er n iy
CHERRY	ch eh r iy
CHESHER	ch eh sh er
CHESLER	ch eh s ah l er
CHESTON	ch eh s t ah n
CHEVIES	ch eh v iy z
CHEVIK	ch eh v ih k
CHEVY'S	ch eh v iy z
CHEYNEY	ch ey n iy
CHICKED	ch ih k t
CHIDED	ch ay d ih d
CHILDS	ch ay l d z
CHILE	ch ih l iy
CHILI	ch ih l iy
CHILIES	ch ih l iy z
CHILTON	ch ih l t ah n
CHIMP	ch ih m p
CHINK	ch ih ng k
CHIPPED	ch ih p t
CHIPPER	ch ih p er
CHIRPS	ch er p s
CHITA	ch iy t ah
CHITTER	ch ih t er
CHIYODA	ch ih y ow d ah
CHIZMAR	ch ih z m er
CHOKED	ch ow k t
CHONKO	ch aa ng k ow
CHOOSES	ch uw z ah z
CHOPIN	sh ow p ae n
CHOPPER	ch aa p er
CHORALE	k er ae l
CHOYCE	ch oy s
CHRISP	k r ih s p
CHRIST	k r ay s t
CHRISTO	k r ih s t ow
CHUCK'S	ch ah k s
CHUCKLE	ch ah k ah l
CHUDLER	ch ah d l er
CHUDZIK	ch ah d z ih k
CHUGOKU	ch uw g ow k uw
CHULA	ch uw l ah
CHUN	ch ah n
CHUNK	ch ah ng k
CHUNNEL	ch ah n ah l
CIAMPI	ch ao m p iy
CIANCI	ch ao n ch iy
CIARDI	ch er d iy
CICELY	s ih s ah l iy
CICHY	s ih ch iy
CIE	s iy
CIERA	s iy r ah
CIGAR	s ih g aa r
CIGARS	s ih g aa r z
CILLEY	s ih l iy
CIMA	ch iy m ah
CIMINI	ch iy m iy n iy
CIMO	ch iy m ow
CINDRIC	s ih n d r ih k
CINDY	s ih n d iy
CIOTTI	ch ow t iy
CIRCA	s er k ah
CIRCON	s er k aa n
CIRKIN	s er k ih n
CISKEI	s ih s k ey
CISZEK	ch ih sh eh k
CITADEL	s ih t ah d eh l
CITIES	s ih t iy z
CITIES'	s ih t iy z
CITRON	s ih t r ah n
CIULLO	ch uw l ow
CIVET	s ih v ah t
CIVIC	s ih v ih k
CLABIR	k l ae b ih r
CLAD	k l ae d
CLAMOR	k l ae m er
CLAN	k l ae n
CLANK	k l ae ng k
CLAR	k l aa r
CLARINE	k l eh r iy n
CLARO	k l aa r ow
CLASS	k l ae s
CLAUDIE	k l ao d iy
CLAUSE	k l ao z
CLAUSES	k l ao z ah z
CLAWED	k l ao d
CLAYTON	k l ey t ah n
CLEGG	k l eh g
CLEMEN	k l eh m ah n
CLERC	k l er k
CLERGY	k l er jh iy
CLEVE	k l iy v
CLEVIE	k l iy v iy
CLIFFS'	k l ih f s
CLIMAX	k l ay m ae k s
CLIMB	k l ay m
CLIMBS	k l ay m z
CLIMES	k l ay m z
CLIP	k l ih p
CLOCKER	k l aa k er
CLOER	k l ow er
CLOEY	k l ow iy
CLOGGED	k l ao g d
CLOGS	k l aa g z
CLOKE	k l ow k
CLONING	k l ow n ih ng
CLONTZ	k l aa n t s
CLOSEST	k l ow s ah s t
CLOSET	k l aa z ah t
CLOSEUP	k l ow s ah p
CLOTH	k l ao th
CLOTHS	k l ao th s
CLOUDED	k l aw d ih d
CLOUDY	k l aw d iy
CLOW	k l ow
CLOWN	k l aw n
CLUB	k l ah b
CLUNG	k l ah ng
CLYMENE	k l ih m iy n
CLYNE	k l ay n
CLYVE	k l ay v
CO-OP	k ow aa p
COACHED	k ow ch t
COARSE	k ao r s
COASTER	k ow s t er
COAXING	k ow k s ih ng
COAXUM	k ow k s ah m
COBURN	k ow b er n
COBY	k ow b iy
COCAINE	k ow k ey n
COCCARO	k ow k aa r ow
COCCHI	k ow k iy
COCKING	k aa k ih ng
COCKLE	k aa k ah l
COCKLES	k aa k ah l z
COCKS	k aa k s
COCUZZA	k ow k uw t s ah
CODAG	k ow d ae g
CODAY	k ow d ey
COEBURN	k ow b er n
COFFERS	k aa f er z
COFFIN	k ao f ih n
COFFINS	k ao f ih n z
COGENT	k ow jh ah n t
COGGINS	k aa g ih n z
COHERED	k ow hh ih r d
COHIBA	k ow hh iy b ah
COHOST	k ow hh ow s t
COINED	k oy n d
COLAN	k ow l ah n
COLBECK	k aa l b eh k
COLBY'S	k ow l b iy z
COLDS	k ow l d z
COLFORD	k ow l f er d
COLGIN	k ow l jh ih n
COLLATE	k ah l ey t
COLLAZO	k ow l aa z ow
COLLI	k ow l iy
COLLURA	k aa l uh r ah
COLLVER	k aa l v er
COLLY	k aa l iy
COLMAN	k ow l m ah n
COLOMA	k ow l ow m ah
COLOMBE	k ow l ow m b iy
COLTIE	k ow l t iy
COLUMBA	k ow l ah m b ah
COMBAT	k aa m b ae t
COMBING	k ow m ih ng
COMBY	k aa m b iy
COMEGYS	k aa m ih jh iy z
COMER	k ah m er
COMFORT	k ah m f er t
COMICAL	k aa m ih k ah l
COMLEY	k aa m l iy
COMMENT	k aa m eh n t
COMPACT	k aa m p ae k t
COMPO	k aa m p ow
COMPOSE	k ah m p ow z
COMSAT	k aa m s ae t
CONAIR	k aa n eh r
CONCHA	k aa n ch ah
CONCOCT	k ah n k aa k t
CONDER	k aa n d er
CONDIT	k aa n d ih t
CONDOR	k aa n d er
CONDREY	k aa n d r iy
CONFAIR	k aa n f eh r
CONFERS	k ah n f er z
CONFINE	k ah n f ay n
CONFORM	k ah n f ao r m
CONIC	k aa n ih k
CONKLIN	k aa ng k l ih n
CONLAN	k aa n l ah n
CONNON	k aa n ah n
CONNORS	k aa n er z
CONOCO	k aa n ah k ow
CONOVER	k aa n ah v er
CONRADY	k ah n r aa d iy
CONSIS	k aa n s ih s
CONSOLE	k aa n s ow l
CONTACT	k aa n t ae k t
CONTE	k ao n t
CONTEST	k aa n t eh s t
CONTINO	k aa n t iy n ow
CONTRAS	k aa n t r ah z
CONVAIR	k aa n v eh r
COOKERS	k uh k er z
COOKMAN	k uh k m ah n
COOKS	k uh k s
COOLING	k uw l ih ng
COOLLY	k uw l iy
COOMBE	k uw m b
COONES	k uw n z
COOS	k uw s
COPEN	k ow p ah n
COPIES	k aa p iy z
COPILOT	k ow p ay l ah t
COPLAN	k aa p l ah n
COPLEY	k aa p l iy
COPY	k aa p iy
CORBELL	k ao r b eh l
CORDAY	k ao r d ey
CORDIS	k ao r d ih s
CORDON	k ao r d ah n
CORDOVA	k ao r d ow v ah
CORELL	k ao r eh l
CORES	k ao r z
CORETTA	k ao r eh t ah
CORIA	k ao r iy ah
CORINNE	k er iy n
CORINTO	k ao r ih n t ow
CORLEW	k ao r l uw
CORMAN	k ao r m ah n
CORMANY	k ao r m ah n iy
CORMIER	k ao r m iy er
CORNEAS	k ao r n iy ah z
CORNELL	k ao r n eh l
CORNER	k ao r n er
CORNETT	k ao r n ih t
CORPORA	k ao r p er ah
CORPSE	k ao r p s
CORRODE	k er ow d
CORSE	k ao r s
CORTEGE	k ao r t eh zh
CORTINE	k ao r t iy n
COSBY	k ao z b iy
COSMA	k ow z m ah
COSMOS	k aa z m ow s
COSSACK	k ao s ah k
COSSEY	k aa s iy
COSTCO	k ao s t k ow
COSTEN	k ao s t ah n
COSTLOW	k ao s t l ow
COSTRA	k aa s t r ah
COSTS	k aa s t s
COTS	k aa t s
COTTMAN	k aa t m ah n
COTTO	k ow t ow
COTTON	k aa t ah n
COUDERT	k uw d er t
COULEE	k uw l iy
COULTAS	k uw l t aa z
COUPON	k uw p ao n
COUSER	k aw s er
COVEL	k ow v ah l
COVET	k ah v ah t
COWART	k aw aa r t
COWBOYS	k aw b oy z
COWIN	k aw ih n
COZINE	k ow z iy n iy
CRABBE	k r ae b
CRACKS	k r ae k s
CRAFTED	k r ae f t ih d
CRAFTS	k r ae f t s
CRAGGS	k r ae g z
CRAGO	k r aa g ow
CRAIN'S	k r ey n z
CRAINE	k r ey n
CRAMPON	k r ae m p ao n
CRANKED	k r ae ng k t
CRATON	k r ae t ah n
CRAVATH	k r ae v ah th
CRAVED	k r ey v d
CRAVEN	k r ey v ah n
CRAVIN	k r ey v ih n
CRAXI	k r ae k s iy
CREAK	k r iy k
CREAL	k r iy l
CREASON	k r iy s ah n
CREATES	k r iy ey t s
CRECHES	k r eh sh ah z
CREDLE	k r eh d ah l
CREEDS	k r iy d z
CREER	k r ih r
CREES	k r iy z
CREKO	k r eh k ow
CRESAP	k r eh s ah p
CRESPIN	k r eh s p ih n
CRESPO	k r eh s p ow
CRESSES	k r eh s ah z
CREW	k r uw
CREWEL	k r uw ah l
CRIDDLE	k r ih d ah l
CRIDER	k r ay d er
CRILLEY	k r ih l iy
CRIMEA	k r ay m iy ah
CRIMSON	k r ih m z ah n
CROCE	k r ow ch iy
CROFT	k r ao f t
CROGAN	k r ow g ah n
CROGHAN	k r aa g ah n
CRONCE	k r aa n s
CROOM	k r uw m
CROPPER	k r aa p er
CROSBIE	k r ao z b iy
CROSHAW	k r aa sh ao
CROTCH	k r aa ch
CROUNSE	k r aw n s
CROUP	k r uw p
CROWELL	k r ow ah l
CROWLE	k r aw l
CRUDE	k r uw d
CRUISER	k r uw z er
CRUSHES	k r ah sh ih z
CT	k ao r t
CUBA'S	k y uw b ah z
CUBBIES	k ah b iy z
CUBS'	k ah b z
CUCCIO	k uw ch iy ow
CUDD	k ah d
CUDDLE	k ah d ah l
CUDE	k y uw d
CUELLO	k uw eh l ow
CUFFED	k ah f t
CUFFEE	k ah f iy
CUING	k y uw ih ng
CUL	k ah l
CULHANE	k ah l hh ey n
CULPRIT	k ah l p r ih t
CULT	k ah l t
CULTURE	k ah l ch er
CUMMING	k ah m ih ng
CUNDILL	k ah n d ih l
CUNDY	k ah n d iy
CUOZZO	k w ow z ow
CUPOLA	k ah p ow l ah
CUPP	k ah p
CUPPETT	k ah p ih t
CURACAO	k y uh r ah s aw
CURATE	k y uh r ah t
CURB	k er b
CURCURU	k uh r k uh r uw
CURIALE	k uh r iy aa l iy
CURING	k y uh r ih ng
CURNUTT	k er n ah t
CURRERI	k uh r eh r iy
CURRIER	k er iy er
CURRO	k uh r ow
CURSING	k er s ih ng
CURVES	k er v z
CURVIN	k er v ih n
CUSHY	k uh sh iy
CUSK	k ah s k
CUSTER	k ah s t er
CUT	k ah t
CUTAWAY	k ah t ah w ey
CUTCHER	k ah ch er
CUTOFF	k ah t ao f
CUTOUT	k ah t aw t
CUTRELL	k ah t r ah l
CUTRONE	k uw t r ow n iy
CUTTER	k ah t er
CUTTINO	k uw t iy n ow
CXC	s iy eh k s s iy
CYB	s ay b
CYCLING	s ay k ah l ih ng
CYCOLOR	s ih k ah l er
CYMBAL	s ih m b ah l
CYPERT	s ay p er t
CYRIL	s ih r ah l
CZAJKA	ch ay k ah
CZECH	ch eh k
DA'S	d iy ey z
DABBING	d ae b ih ng
DACE	d ey s
DACUNHA	d ah k ah n hh ah
DADDY	d ae d iy
DADFAR	d ae d f aa r
DADO	d ey d ow
DAEMON	d iy m ah n
DAFFERN	d ae f er n
DAHNKE	d ae ng k
DAIICHI	d ay iy ch iy
DAIN	d ey n
DAISIES	d ey z iy z
DAKOTAN	d ah k ow t ah n
DALBEC	d ae l b ih k
DALFORT	d ao l f er t
DALI	d aa l iy
DALIS	d ae l ih s
DALL	d ao l
DALOIA	d aa l ow y ah
DALPIAZ	d aa l p iy aa z
DALTON	d ao l t ah n
DALZELL	d ae l z ah l
DAMBACH	d ae m b aa k
DAME	d ey m
DAMIANO	d aa m iy aa n ow
DAMICO	d aa m iy k ow
DAMITZ	d ae m ih t s
DAMMAM	d ae m ah m
DAMNING	d ae m ih ng
DAMONS	d ey m ah n z
DAMPER	d ae m p er
DAMROW	d ae m r ow
DANCERS	d ae n s er z
DANELLA	d ah n eh l ah
DANES	d ey n z
DANGEWS	d ey n jh uw z
DANGLE	d ae ng g ah l
DANGLER	d ae ng g ah l er
DANIA	d ey n y ah
DANICA	d ae n ih k ah
DANJUB	d ae n jh uw b
DANSER	d ae n s er
DANTON	d ae n t ah n
DARA	d ae r ah
DARDEN	d aa r d ah n
DARE	d eh r
DAREN	d ae r ih n
DARES	d eh r z
DARN	d aa r n
DARNALL	d aa r n ah l
DARNEL	d aa r n ah l
DAROSA	d aa r ow s ah
DARSY	d aa r s iy
DARTED	d aa r t ih d
DASBURG	d ae s b er g
DATEK	d ae t eh k
DATTILO	d aa t iy l ow
DATUM	d ae t ah m
DAULTON	d ao l t ah n
DAUSTER	d aw s t er
DAVALOS	d aa v aa l ow z
DAVE'S	d ey v z
DAVES	d ey v z
DAVIDOW	d ae v ih d ow
DAVIO'S	d ae v iy ow z
DAVIR	d ah v ih r
DAVIS'S	d ey v ah s ah z
DAVLIN	d ae v l ih n
DAVOX	d ae v aa k s
DAWNS	d ao n z
DAXOR	d ae k s er
DAYCARE	d ey k eh r
DAYLE	d ey l
DAYTON	d ey t ah n
DAYWALT	d ey w ah l t
DEALS	d iy l z
DEALY	d iy l iy
DEANA	d iy ae n ah
DEARY	d ih r iy
DEATHLY	d eh th l iy
DEATLEY	d iy t l iy
DEBATER	d ah b ey t er
DEBATES	d ah b ey t s
DEBO	d iy b ow
DEBONO	d ih b ow n ow
DEBOR	d eh b ao r
DECH	d eh k
DECHANT	d ey ch ah n t
DECHENE	d eh k iy n
DECHINE	d eh ch ih n
DECIDED	d ih s ay d ih d
DECKARD	d ih k aa r d
DECKED	d eh k t
DECLERK	d ah k l er k
DECOOK	d eh k uh k
DECORUM	d ih k ao r ah m
DECRIED	d ih k r ay d
DECRIES	d ih k r ay z
DECUIR	d eh k ih r
DEDE	d iy d
DEEB	d iy b
DEEDY	d iy d iy
DEEMS	d iy m z
DEEPAK	d iy p ae k
DEERE	d ih r
DEFIED	d ih f ay d
DEFLECT	d ih f l eh k t
DEFUND	d iy f ah n d
DEFUSE	d ih f y uw z
DEFY	d ih f ay
DEGAS	d ey g ah s
DEGLER	d eh g l er
DEHNER	d eh n er
DEHNERT	d eh n er t
DEIFIED	d iy ah f ay d
DEIFY	d iy ah f ay
DEIGNS	d ey n z
DEIS	d iy z
DEITIES	d iy ah t iy z
DEJONGH	d ah jh ao ng
DELAP	d eh l ah p
DELAUNE	d eh l ao n
DELAVAL	d eh l ah v ae l
DELAYED	d ih l ey d
DELBERT	d eh l b er t
DELETED	d ih l iy t ah d
DELI	d eh l iy
DELIAL	d ih l ay eh l
DELISI	d eh l iy s iy
DELMAR	d eh l m er
DELMORE	d eh l m ao r
DELOREY	d eh l er iy
DELORIS	d eh l er ih s
DELORS	d ah l ao r z
DELP	d eh l p
DELRE	d eh l r
DELTAK	d eh l t ae k
DELTONA	d eh l t ow n ah
DELUCA	d ih l uw k ah
DELUCCA	d eh l uw k ah
DELUISE	d eh l uw s iy
DELZER	d eh l z er
DEMAYO	d ey m ey ow
DEMEO	d iy m iy ow
DEMETRE	d eh m iy t er
DEMISCH	d ah m ih sh
DEMISE	d ih m ay z
DEMISH	d eh m ih sh
DEMLER	d eh m l er
DEMON	d iy m ah n
DEMOS	d eh m ow z
DEMOTE	d ih m ow t
DEMUS	d iy m ah s
DENARDO	d ih n aa r d ow
DENBOW	d eh n b ow
DENES	d iy n z
DENGUE	d eh n g
DENIKE	d eh n ih k
DENMAN	d eh n m ah n
DENN	d eh n
DENNE	d eh n
DENNEHY	d eh n ih hh iy
DENNEN	d eh n ah n
DENNIN	d eh n ih n
DENNING	d eh n ih ng
DENNY	d eh n iy
DENOMME	d eh n ah m
DENOTE	d ih n ow t
DENOYER	d eh n oy er
DENSEST	d eh n s ah s t
DENTING	d eh n t ih ng
DENTTON	d eh n t ah n
DEON	d iy aa n
DEPAOLO	d ih p aw l ow
DEPARTS	d ih p aa r t s
DEPLORE	d ih p l ao r
DEPPE	d eh p
DEPREE	d ih p r iy
DEPRESS	d ih p r eh s
DERAMUS	d eh r ah m ih s
DEREGT	d er eh k t
DERING	d ih r ih ng
DERISO	d ih r iy s ow
DERIVED	d er ay v d
DERMAN	d er m ah n
DEROOS	d ih r uw z
DEROSIA	d ih r ow s iy ah
DERRY	d eh r iy
DERSCH	d er sh
DERSHEM	d er sh ih m
DERVIN	d er v ih n
DERWARD	d er w er d
DESERT	d eh z er t
DESHAW	d eh sh ao
DESIRES	d ih z ay er z
DESKPRO	d eh s k p r ow
DESTIN	d eh s t ih n
DETACH	d ih t ae ch
DETECTS	d ih t eh k t s
DETERT	d eh t er t
DETORE	d ih t ao r iy
DETRICH	d eh t r ih k
DETROIT	d ih t r oy t
DETZEL	d eh t z ah l
DEUSS	d uw s
DEV	d eh v
DEVEAUX	d ih v ow
DEVELOP	d ih v eh l ah p
DEVENNY	d eh v ih n iy
DEVEROY	d eh v er oy
DEVINO	d ih v iy n ow
DEVITO	d ih v iy t ow
DEVOUR	d ih v aw er
DEWAARD	d uw aa r d
DEWINE	d ah w ay n
DEWITTE	d uw ih t
DEWOLFE	d uw uh l f
DEWY	d uw iy
DEXTRIN	d eh k s t r ih n
DEZEEUW	d ih z iy uw
DFW	d iy eh f d ah b ah l y uw
DHEIN	d ay n
DHOLE	d ow l
DIAGRAM	d ay ah g r ae m
DIAMONO	d ay ah m aa n ow
DIANTHE	d ay ae n dh iy
DIAPSID	d ay ae p s ih d
DIAS	d ay ah z
DIATOMS	d ay ah t aa m z
DIBBLE	d ih b ah l
DIBBLED	d ih b ah l d
DIBRELL	d ih b r ah l
DICARLO	d ih k aa r l ow
DICENSO	d ih s eh n s ow
DICKEY	d ih k iy
DICKY	d ih k iy
DIDDLEY	d ih d l iy
DIDN'T	d ih d ah n t
DIEBOLD	d ay b ow l d
DIEDE	d iy d
DIERCKS	d iy r k s
DIERKS	d iy r k s
DIERS	d iy er z
DIETER	d iy t er
DIEVLER	d iy v l er
DIFFID	d ih f ah d
DIFFUSE	d ih f y uw s
DIFM	d ih f m
DIGGING	d ih g ih ng
DIGS	d ih g z
DIJKER	d iy k er
DILATE	d ay l ey t
DILLION	d ih l y ah n
DILUZIO	d ih l uw z iy ow
DIM	d ih m
DIME	d ay m
DIMOCK	d ih m ah k
DINARS	d ay n er z
DINESH	d ih n eh sh
DINGHAM	d ih ng ah m
DINGLER	d ih ng g ah l er
DINKY	d ih ng k iy
DINOSEB	d ay n ow s eh b
DINSA	d ih n s ah
DIONNE	d iy aa n
DIPIERO	d ih p ih r ow
DIPIRRO	d ih p ih r ow
DIPPED	d ih p t
DIPPEL	d ih p ah l
DIPPOLD	d ih p ow l d
DIRECT	d er eh k t
DIRGE	d er jh
DIROSA	d ih r ow s ah
DISALVO	d ih s aa l v ow
DISBRO	d ih s b r ow
DISEASE	d ih z iy z
DISKS	d ih s k s
DISMAL	d ih z m ah l
DISMAYS	d ih s m ey z
DISMISS	d ih s m ih s
DISOWN	d ih s ow n
DISPEL	d ih s p eh l
DISPELL	d ih s p eh l
DIVAD	d ih v ae d
DIVERSE	d ay v er s
DIVERTS	d ay v er t s
DIVIDE	d ih v ay d
DIVIDER	d ih v ay d er
DIVINEY	d ih v ih n iy
DIVISON	d ih v ih zh ah n
DIVORCE	d ih v ao r s
DIXY	d ih k s iy
DNA	d iy eh n ey
DNASE	d iy eh n ey s
DO	d uw
DOANNA	d ow n ah
DOB	d aa b
DOBBIN	d aa b ih n
DOBESH	d aa b ih sh
DOBKIN	d aa b k ih n
DOBY	d ow b iy
DOCIE	d aa k iy
DOCK'S	d aa k s
DOCKED	d aa k t
DODD	d aa d
DODGE'S	d aa jh ih z
DODGING	d aa jh ih ng
DODI	d ow d iy
DOEPKE	d ow p k
DOERS	d uw er z
DOFF	d ao f
DOFFING	d ao f ih ng
DOGGIES	d ao g iy z
DOGGONE	d ao g ao n
DOKE	d ow k
DOKEY	d ow k iy
DOLAN	d ow l ah n
DOLAND	d uw l ah n d
DOLBOW	d ow l b ow
DOLIN	d ow l ih n
DOLLAN	d ow l ah n
DOLLOFF	d aa l ao f
DOLLS	d aa l z
DOLNEY	d ow l n iy
DOMAN	d uw m ah n
DOMIN	d ow m ih n
DOMINI	d aa m ih n iy
DON'T	d ow n t
DONAHO	d ow n aa hh ow
DONAIS	d ah n ey
DONAR	d aa n er
DONAWAY	d aa n ah w ey
DONEHOO	d ow n ey hh uw
DONEY	d aa n iy
DONGEN	d ao ng g ah n
DONILON	d aa n ah l aa n
DONKEYS	d aa ng k iy z
DONNAN	d aa n ah n
